collected_at,source,region,childRealTimeBed,childTotalBed,emogCode,emogDesc,emogDstr,emogGrdc2,emogLoca,generalRealTimeBed,generalTotalBed,id,isoRealTimeBed,isoTotalBed,regionCode,updateDate,wholeRealTimeBed,wholeTotalBed
2026-07-27 00:54:04,mediboard,서울특별시,0,0,A1100011,가톨릭대학교여의도성모병원,1120,C,11,12,15,58517665,5,5,11,2026-07-27T00:50:10.007717,17,20
2026-07-27 00:54:04,mediboard,서울특별시,8,8,A1121013,가톨릭대학교은평성모병원,1122,C,11,12,24,58517884,2,4,11,2026-07-27T00:50:10.007717,22,36
2026-07-27 00:54:04,mediboard,서울특별시,3,3,A1100043,강동경희대학교병원,1102,A,11,4,15,58517558,3,5,11,2026-07-27T00:50:10.007717,10,23
2026-07-27 00:54:04,mediboard,서울특별시,2,2,A1100006,강북삼성병원,1123,C,11,6,15,58517878,3,3,11,2026-07-27T00:50:10.007717,11,20
2026-07-27 00:54:04,mediboard,서울특별시,3,4,A1100002,건국대학교병원,1106,C,11,12,20,58517778,3,3,11,2026-07-27T00:50:10.007717,18,27
2026-07-27 00:54:04,mediboard,서울특별시,0,0,A1100039,경찰병원,1118,D,11,3,3,58517783,2,2,11,2026-07-27T00:50:10.007717,5,5
2026-07-27 00:54:04,mediboard,서울특별시,1,3,A1100001,경희대학교병원,1111,C,11,12,15,58517720,5,5,11,2026-07-27T00:50:10.007717,18,23
2026-07-27 00:54:04,mediboard,서울특별시,2,3,A1100014,고려대학교의과대학부속구로병원,1107,A,11,9,29,58517666,5,5,11,2026-07-27T00:50:10.007717,16,37
2026-07-27 00:54:04,mediboard,서울특별시,0,0,A1100026,구로성심병원,1107,D,11,7,9,58517881,1,1,11,2026-07-27T00:50:10.007717,8,10
2026-07-27 00:54:04,mediboard,서울특별시,3,3,A1100052,국립중앙의료원,1124,C,11,246,246,58517829,1235,1236,11,2026-07-27T00:50:10.007717,1484,1485
2026-07-27 00:54:04,mediboard,서울특별시,0,0,A1122033,기쁨병원,1115,D,11,4,4,58517513,1,1,11,2026-07-27T00:50:10.007717,5,5
2026-07-27 00:54:04,mediboard,서울특별시,0,0,A1100048,노원을지대학교병원,1109,C,11,13,17,58517511,5,5,11,2026-07-27T00:50:10.007717,18,22
2026-07-27 00:54:04,mediboard,서울특별시,0,0,A1100044,녹색병원,1125,D,11,3,5,58517828,5,5,11,2026-07-27T00:50:10.007717,8,10
2026-07-27 00:54:04,mediboard,서울특별시,0,0,A1100037,대림성모병원,1120,D,11,8,8,58517669,2,2,11,2026-07-27T00:50:10.007717,10,10
2026-07-27 00:54:04,mediboard,서울특별시,0,0,A1100024,명지성모병원,1120,D,11,8,8,58517509,2,2,11,2026-07-27T00:50:10.007717,10,10
2026-07-27 00:54:04,mediboard,서울특별시,0,0,A1100036,부민병원,1104,D,11,9,10,58517882,1,1,11,2026-07-27T00:50:10.007717,10,11
2026-07-27 00:54:04,mediboard,서울특별시,3,4,A1100010,삼성서울병원,1101,C,11,-5,52,58517779,2,4,11,2026-07-27T00:50:10.007717,0,60
2026-07-27 00:54:04,mediboard,서울특별시,0,0,A1100021,삼육서울병원,1111,C,11,6,13,58517780,4,7,11,2026-07-27T00:50:10.007717,10,20
2026-07-27 00:54:04,mediboard,서울특별시,7,12,A1100017,서울대학교병원,1123,A,11,-3,24,58517508,8,8,11,2026-07-27T00:50:10.007717,10,42
2026-07-27 00:54:04,mediboard,서울특별시,0,0,A1100050,서울성심병원,1111,D,11,17,17,58517784,3,3,11,2026-07-27T00:50:10.007717,20,20
2026-07-27 00:54:04,mediboard,서울특별시,0,0,A1100029,서울적십자병원,1123,D,11,10,10,58517612,0,1,11,2026-07-27T00:50:10.007717,10,11
2026-07-27 00:54:04,mediboard,서울특별시,0,0,A1100022,서울특별시동부병원,1111,D,11,7,8,58517555,2,2,11,2026-07-27T00:50:10.007717,9,10
2026-07-27 00:54:04,mediboard,서울특별시,2,3,A1100040,서울특별시보라매병원,1112,C,11,13,31,58517613,3,3,11,2026-07-27T00:50:10.007717,18,37
2026-07-27 00:54:04,mediboard,서울특별시,0,0,A1100223,서울특별시서남병원,1119,D,11,17,17,58517559,3,3,11,2026-07-27T00:50:10.007717,20,20
2026-07-27 00:54:04,mediboard,서울특별시,2,3,A1100035,서울특별시서울의료원,1125,A,11,8,19,58517782,5,5,11,2026-07-27T00:50:10.007717,15,27
2026-07-27 00:54:04,mediboard,서울특별시,0,0,A1100028,성심의료재단강동성심병원,1102,C,11,8,15,58517781,9,9,11,2026-07-27T00:50:10.007717,17,24
