collected_at,source,region,childRealTimeBed,childTotalBed,emogCode,emogDesc,emogDstr,emogGrdc2,emogLoca,generalRealTimeBed,generalTotalBed,id,isoRealTimeBed,isoTotalBed,regionCode,updateDate,wholeRealTimeBed,wholeTotalBed
2026-07-26 00:56:04,mediboard,서울특별시,0,0,A1100011,가톨릭대학교여의도성모병원,1120,C,11,14,15,58398273,5,5,11,2026-07-26T00:55:10.006166,19,20
2026-07-26 00:56:04,mediboard,서울특별시,8,8,A1121013,가톨릭대학교은평성모병원,1122,C,11,10,24,58398492,3,4,11,2026-07-26T00:55:10.006166,21,36
2026-07-26 00:56:04,mediboard,서울특별시,3,3,A1100043,강동경희대학교병원,1102,A,11,2,15,58398166,4,5,11,2026-07-26T00:55:10.006166,9,23
2026-07-26 00:56:04,mediboard,서울특별시,2,2,A1100006,강북삼성병원,1123,C,11,7,15,58398486,3,3,11,2026-07-26T00:55:10.006166,12,20
2026-07-26 00:56:04,mediboard,서울특별시,4,4,A1100002,건국대학교병원,1106,C,11,7,20,58398386,3,3,11,2026-07-26T00:55:10.006166,14,27
2026-07-26 00:56:04,mediboard,서울특별시,0,0,A1100039,경찰병원,1118,D,11,2,3,58398391,2,2,11,2026-07-26T00:55:10.006166,4,5
2026-07-26 00:56:04,mediboard,서울특별시,3,3,A1100001,경희대학교병원,1111,C,11,7,15,58398328,4,5,11,2026-07-26T00:55:10.006166,14,23
2026-07-26 00:56:04,mediboard,서울특별시,2,3,A1100014,고려대학교의과대학부속구로병원,1107,A,11,15,29,58398274,4,5,11,2026-07-26T00:55:10.006166,21,37
2026-07-26 00:56:04,mediboard,서울특별시,0,0,A1100026,구로성심병원,1107,D,11,6,9,58398489,1,1,11,2026-07-26T00:55:10.006166,7,10
2026-07-26 00:56:04,mediboard,서울특별시,3,3,A1100052,국립중앙의료원,1124,C,11,246,246,58398437,1235,1236,11,2026-07-26T00:55:10.006166,1484,1485
2026-07-26 00:56:04,mediboard,서울특별시,0,0,A1122033,기쁨병원,1115,D,11,2,4,58398121,1,1,11,2026-07-26T00:55:10.006166,3,5
2026-07-26 00:56:04,mediboard,서울특별시,0,0,A1100048,노원을지대학교병원,1109,C,11,13,17,58398119,5,5,11,2026-07-26T00:55:10.006166,18,22
2026-07-26 00:56:04,mediboard,서울특별시,0,0,A1100044,녹색병원,1125,D,11,0,5,58398436,5,5,11,2026-07-26T00:55:10.006166,5,10
2026-07-26 00:56:04,mediboard,서울특별시,0,0,A1100037,대림성모병원,1120,D,11,8,8,58398277,1,2,11,2026-07-26T00:55:10.006166,9,10
2026-07-26 00:56:04,mediboard,서울특별시,0,0,A1100024,명지성모병원,1120,D,11,6,8,58398117,2,2,11,2026-07-26T00:55:10.006166,8,10
2026-07-26 00:56:04,mediboard,서울특별시,0,0,A1100036,부민병원,1104,D,11,6,10,58398490,1,1,11,2026-07-26T00:55:10.006166,7,11
2026-07-26 00:56:04,mediboard,서울특별시,2,4,A1100010,삼성서울병원,1101,C,11,14,52,58398387,4,4,11,2026-07-26T00:55:10.006166,20,60
2026-07-26 00:56:04,mediboard,서울특별시,0,0,A1100021,삼육서울병원,1111,C,11,8,13,58398388,4,7,11,2026-07-26T00:55:10.006166,12,20
2026-07-26 00:56:04,mediboard,서울특별시,9,12,A1100017,서울대학교병원,1123,A,11,-3,24,58398116,8,8,11,2026-07-26T00:55:10.006166,12,42
2026-07-26 00:56:04,mediboard,서울특별시,0,0,A1100050,서울성심병원,1111,D,11,15,17,58398392,3,3,11,2026-07-26T00:55:10.006166,18,20
2026-07-26 00:56:04,mediboard,서울특별시,0,0,A1100029,서울적십자병원,1123,D,11,9,10,58398220,0,1,11,2026-07-26T00:55:10.006166,9,11
2026-07-26 00:56:04,mediboard,서울특별시,0,0,A1100022,서울특별시동부병원,1111,D,11,8,8,58398163,2,2,11,2026-07-26T00:55:10.006166,10,10
2026-07-26 00:56:04,mediboard,서울특별시,3,3,A1100040,서울특별시보라매병원,1112,C,11,13,31,58398221,3,3,11,2026-07-26T00:55:10.006166,19,37
2026-07-26 00:56:04,mediboard,서울특별시,0,0,A1100223,서울특별시서남병원,1119,D,11,16,17,58398167,3,3,11,2026-07-26T00:55:10.006166,19,20
2026-07-26 00:56:04,mediboard,서울특별시,1,3,A1100035,서울특별시서울의료원,1125,A,11,3,19,58398390,5,5,11,2026-07-26T00:55:10.006166,9,27
2026-07-26 00:56:04,mediboard,서울특별시,0,0,A1100028,성심의료재단강동성심병원,1102,C,11,9,15,58398389,9,9,11,2026-07-26T00:55:10.006166,18,24
2026-07-26 00:56:04,mediboard,서울특별시,0,0,A1100054,성애의료재단성애병원,1120,C,11,11,15,58398438,5,11,11,2026-07-26T00:55:10.006166,16,26
2026-07-26 00:56:04,mediboard,서울특별시,0,0,A1100032,세란병원,1123,D,11,9,10,58398276,1,1,11,2026-07-26T00:55:10.006166,10,11
2026-07-26 00:56:04,mediboard,서울특별시,3,4,A1100004,순천향대학교부속서울병원,1121,C,11,16,20,58398272,3,3,11,2026-07-26T00:55:10.006166,22,27
2026-07-26 00:56:04,mediboard,서울특별시,0,0,A1100045,씨엠병원,1120,D,11,8,9,58398332,1,1,11,2026-07-26T00:55:10.006166,9,10
2026-07-26 00:56:04,mediboard,서울특별시,2,2,A1100015,연세대학교의과대학강남세브란스병원,1101,C,11,8,21,58398488,2,3,11,2026-07-26T00:55:10.006166,12,26
2026-07-26 00:56:04,mediboard,서울특별시,5,10,A1100007,연세대학교의과대학세브란스병원,1114,C,11,11,39,58398433,6,6,11,2026-07-26T00:55:10.006166,20,53
2026-07-26 00:56:04,mediboard,서울특별시,0,0,A1100025,의료법인동신의료재단동신병원,1114,D,11,9,9,58398435,1,1,11,2026-07-26T00:55:10.006166,10,10
