collected_at,source,region,childRealTimeBed,childTotalBed,emogCode,emogDesc,emogDstr,emogGrdc2,emogLoca,generalRealTimeBed,generalTotalBed,id,isoRealTimeBed,isoTotalBed,regionCode,updateDate,wholeRealTimeBed,wholeTotalBed
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100011,가톨릭대학교여의도성모병원,1120,C,11,11,15,55286606,5,5,11,2026-06-30T01:50:10.005633,16,20
2026-06-30 01:51:36,mediboard,서울특별시,7,8,A1121013,가톨릭대학교은평성모병원,1122,C,11,19,24,55286827,4,4,11,2026-06-30T01:50:10.005633,30,36
2026-06-30 01:51:36,mediboard,서울특별시,3,3,A1100043,강동경희대학교병원,1102,A,11,3,15,55286500,4,5,11,2026-06-30T01:50:10.005633,10,23
2026-06-30 01:51:36,mediboard,서울특별시,2,2,A1100006,강북삼성병원,1123,C,11,7,15,55286821,3,3,11,2026-06-30T01:50:10.005633,12,20
2026-06-30 01:51:36,mediboard,서울특별시,4,4,A1100002,건국대학교병원,1106,C,11,6,20,55286719,3,3,11,2026-06-30T01:50:10.005633,13,27
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100039,경찰병원,1118,D,11,3,3,55286724,2,2,11,2026-06-30T01:50:10.005633,5,5
2026-06-30 01:51:36,mediboard,서울특별시,3,3,A1100001,경희대학교병원,1111,C,11,13,15,55286661,5,5,11,2026-06-30T01:50:10.005633,21,23
2026-06-30 01:51:36,mediboard,서울특별시,2,3,A1100014,고려대학교의과대학부속구로병원,1107,A,11,2,29,55286607,5,5,11,2026-06-30T01:50:10.005633,9,37
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100026,구로성심병원,1107,D,11,7,9,55286824,1,1,11,2026-06-30T01:50:10.005633,8,10
2026-06-30 01:51:36,mediboard,서울특별시,3,3,A1100052,국립중앙의료원,1124,C,11,14,17,55286771,10,10,11,2026-06-30T01:50:10.005633,27,30
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1122033,기쁨병원,1115,D,11,4,4,55286454,1,1,11,2026-06-30T01:50:10.005633,5,5
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100048,노원을지대학교병원,1109,C,11,16,17,55286452,5,5,11,2026-06-30T01:50:10.005633,21,22
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100044,녹색병원,1125,D,11,5,5,55286770,5,5,11,2026-06-30T01:50:10.005633,10,10
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100037,대림성모병원,1120,D,11,8,8,55286610,2,2,11,2026-06-30T01:50:10.005633,10,10
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100024,명지성모병원,1120,D,11,8,8,55286450,2,2,11,2026-06-30T01:50:10.005633,10,10
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100036,부민병원,1104,D,11,6,10,55286825,1,1,11,2026-06-30T01:50:10.005633,7,11
2026-06-30 01:51:36,mediboard,서울특별시,4,4,A1100010,삼성서울병원,1101,C,11,-19,52,55286720,3,4,11,2026-06-30T01:50:10.005633,-12,60
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100021,삼육서울병원,1111,C,11,10,13,55286721,5,7,11,2026-06-30T01:50:10.005633,15,20
2026-06-30 01:51:36,mediboard,서울특별시,10,12,A1100017,서울대학교병원,1123,A,11,-2,24,55286449,8,8,11,2026-06-30T01:50:10.005633,14,42
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100050,서울성심병원,1111,D,11,16,17,55286725,3,3,11,2026-06-30T01:50:10.005633,19,20
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100029,서울적십자병원,1123,D,11,8,10,55286551,0,1,11,2026-06-30T01:50:10.005633,8,11
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100022,서울특별시동부병원,1111,D,11,8,8,55286497,2,2,11,2026-06-30T01:50:10.005633,10,10
2026-06-30 01:51:36,mediboard,서울특별시,3,3,A1100040,서울특별시보라매병원,1112,C,11,17,31,55286552,3,3,11,2026-06-30T01:50:10.005633,23,37
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100223,서울특별시서남병원,1119,D,11,15,17,55286501,3,3,11,2026-06-30T01:50:10.005633,18,20
2026-06-30 01:51:36,mediboard,서울특별시,3,3,A1100035,서울특별시서울의료원,1125,A,11,11,19,55286723,5,5,11,2026-06-30T01:50:10.005633,19,27
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100028,성심의료재단강동성심병원,1102,C,11,10,15,55286722,9,9,11,2026-06-30T01:50:10.005633,19,24
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100054,성애의료재단성애병원,1120,C,11,12,15,55286772,5,11,11,2026-06-30T01:50:10.005633,17,26
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100032,세란병원,1123,D,11,8,10,55286609,1,1,11,2026-06-30T01:50:10.005633,9,11
2026-06-30 01:51:36,mediboard,서울특별시,4,4,A1100004,순천향대학교부속서울병원,1121,C,11,17,20,55286605,3,3,11,2026-06-30T01:50:10.005633,24,27
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100045,씨엠병원,1120,D,11,9,10,55286665,0,0,11,2026-06-30T01:50:10.005633,9,10
2026-06-30 01:51:36,mediboard,서울특별시,2,2,A1100015,연세대학교의과대학강남세브란스병원,1101,C,11,5,21,55286823,3,3,11,2026-06-30T01:50:10.005633,10,26
2026-06-30 01:51:36,mediboard,서울특별시,8,10,A1100007,연세대학교의과대학세브란스병원,1114,C,11,8,39,55286767,4,6,11,2026-06-30T01:50:10.005633,18,53
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100025,의료법인동신의료재단동신병원,1114,D,11,9,9,55286769,1,1,11,2026-06-30T01:50:10.005633,10,10
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100041,의료법인서울효천의료재단에이치플러스양지병원,1105,C,11,13,18,55286499,3,3,11,2026-06-30T01:50:10.005633,16,21
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100023,의료법인청구성심병원,1122,D,11,10,10,55286498,1,1,11,2026-06-30T01:50:10.005633,11,11
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100075,의료법인풍산의료재단동부제일병원,1125,D,11,7,7,55286453,1,1,11,2026-06-30T01:50:10.005633,8,8
2026-06-30 01:51:36,mediboard,서울특별시,2,2,A1100020,의료법인한전의료재단한일병원,1110,C,11,9,21,55286664,4,4,11,2026-06-30T01:50:10.005633,15,27
2026-06-30 01:51:36,mediboard,서울특별시,8,8,A1100005,이화여자대학교의과대학부속목동병원,1119,A,11,12,19,55286766,6,6,11,2026-06-30T01:50:10.005633,26,33
2026-06-30 01:51:36,mediboard,서울특별시,0,9,A1120796,이화여자대학교의과대학부속서울병원,1104,C,11,4,14,55286726,3,6,11,2026-06-30T01:50:10.005633,7,29
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100016,인제대학교상계백병원,1109,C,11,9,16,55286768,4,7,11,2026-06-30T01:50:10.005633,13,23
2026-06-30 01:51:36,mediboard,서울특별시,8,14,A1100009,재단법인아산사회복지재단서울아산병원,1118,C,11,6,36,55286663,11,26,11,2026-06-30T01:50:10.005633,22,73
2026-06-30 01:51:36,mediboard,서울특별시,3,4,A1100003,중앙대학교병원,1112,C,11,2,18,55286604,0,0,11,2026-06-30T01:50:10.005633,5,22
2026-06-30 01:51:36,mediboard,서울특별시,6,9,A1100012,학교법인가톨릭학원가톨릭대학교서울성모병원,1115,C,11,-4,28,55286550,7,8,11,2026-06-30T01:50:10.005633,7,43
2026-06-30 01:51:36,mediboard,서울특별시,4,4,A1100008,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),1117,A,11,16,30,55286662,7,9,11,2026-06-30T01:50:10.005633,27,43
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100053,한국보훈복지의료공단중앙보훈병원,1102,C,11,17,22,55286611,3,3,11,2026-06-30T01:50:10.005633,20,25
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100027,한국원자력의학원원자력병원,1109,D,11,7,9,55286451,3,3,11,2026-06-30T01:50:10.005633,10,12
2026-06-30 01:51:36,mediboard,서울특별시,3,3,A1100055,한림대학교강남성심병원,1120,C,11,15,20,55286667,5,5,11,2026-06-30T01:50:10.005633,23,28
2026-06-30 01:51:36,mediboard,서울특별시,1,3,A1100013,한양대학교병원,1116,A,11,13,20,55286822,10,12,11,2026-06-30T01:50:10.005633,24,35
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100051,혜민병원,1106,D,11,7,9,55286666,1,1,11,2026-06-30T01:50:10.005633,8,10
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100019,홍익병원,1119,D,11,2,9,55286608,1,1,11,2026-06-30T01:50:10.005633,3,10
2026-06-30 01:51:36,mediboard,서울특별시,0,0,A1100049,희명병원,1108,D,11,8,10,55286826,1,1,11,2026-06-30T01:50:10.005633,9,11
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1200028,(의)서일의료재단기장병원,1203,D,12,9,9,55286728,1,1,12,2026-06-30T01:50:10.005633,10,10
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1200004,고신대학교복음병원,1211,C,12,14,25,55286502,5,5,12,2026-06-30T01:50:10.005633,19,30
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1200045,구포성심병원,1208,D,12,4,9,55286557,1,1,12,2026-06-30T01:50:10.005633,5,10
2026-06-30 01:51:36,mediboard,부산광역시,3,3,A1200018,대동병원,1206,C,12,8,15,55286614,3,3,12,2026-06-30T01:50:10.005633,14,21
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1200015,동남권원자력의학원원자력병원,1203,D,12,9,9,55286671,1,1,12,2026-06-30T01:50:10.005633,10,10
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1200011,동래봉생병원,1206,D,12,4,8,55286775,2,2,12,2026-06-30T01:50:10.005633,6,10
2026-06-30 01:51:36,mediboard,부산광역시,3,3,A1200003,동아대학교병원,1211,A,12,16,19,55286828,5,5,12,2026-06-30T01:50:10.005633,24,27
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1200024,부산광역시의료원,1213,D,12,16,18,55286777,2,8,12,2026-06-30T01:50:10.005633,18,26
2026-06-30 01:51:36,mediboard,부산광역시,3,3,A1200002,부산대학교병원,1211,C,12,15,19,55286455,3,3,12,2026-06-30T01:50:10.005633,21,25
2026-06-30 01:51:36,mediboard,부산광역시,4,4,A1200013,부산성모병원(재단법인 천주교부산교구유지재단),1204,D,12,7,10,55286670,5,5,12,2026-06-30T01:50:10.005633,16,19
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1200007,비에이치에스한서병원,1212,C,12,15,17,55286669,3,3,12,2026-06-30T01:50:10.005633,18,20
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1200021,삼육부산병원,1211,D,12,2,9,55286555,0,1,12,2026-06-30T01:50:10.005633,2,10
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1200014,영도병원,1214,D,12,6,7,55286554,2,2,12,2026-06-30T01:50:10.005633,8,9
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1200009,의료법인 광혜의료재단 광혜병원,1206,D,12,8,9,55286774,3,3,12,2026-06-30T01:50:10.005633,11,12
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1200098,의료법인 센텀의료재단 센텀종합병원,1212,D,12,9,9,55286672,1,1,12,2026-06-30T01:50:10.005633,10,10
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1200020,의료법인 온그룹의료재단 온병원,1207,C,12,18,20,55286456,3,3,12,2026-06-30T01:50:10.005633,21,23
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1200008,의료법인 은성의료재단 좋은강안병원,1212,D,12,15,18,55286612,3,3,12,2026-06-30T01:50:10.005633,18,21
2026-06-30 01:51:36,mediboard,부산광역시,1,1,A1200005,의료법인 은성의료재단 좋은삼선병원,1209,C,12,12,13,55286553,5,6,12,2026-06-30T01:50:10.005633,18,20
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1200006,의료법인 인당의료재단 부민병원,1208,D,12,10,10,55286773,2,2,12,2026-06-30T01:50:10.005633,12,12
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1205143,의료법인 인당의료재단 해운대부민병원,1216,D,12,9,9,55286729,1,1,12,2026-06-30T01:50:10.005633,10,10
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1200012,의료법인 행도의료재단 해동병원,1214,D,12,6,6,55286503,1,1,12,2026-06-30T01:50:10.005633,7,7
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1200017,의료법인정화의료재단 봉생기념병원,1205,D,12,6,9,55286613,2,2,12,2026-06-30T01:50:10.005633,8,11
2026-06-30 01:51:36,mediboard,부산광역시,3,3,A1200022,인제대학교 해운대백병원,1216,A,12,19,29,55286727,5,5,12,2026-06-30T01:50:10.005633,27,37
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1200001,인제대학교부산백병원,1207,C,12,27,32,55286668,3,3,12,2026-06-30T01:50:10.005633,30,35
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1200023,재단법인천주교부산교구유지재단 메리놀병원,1215,D,12,9,9,55286556,1,1,12,2026-06-30T01:50:10.005633,10,10
2026-06-30 01:51:36,mediboard,부산광역시,2,2,A1200026,좋은문화병원,1205,D,12,5,7,55286458,3,3,12,2026-06-30T01:50:10.005633,10,12
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1200025,학교법인 춘해병원,1207,D,12,9,9,55286457,1,1,12,2026-06-30T01:50:10.005633,10,10
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1200019,학교법인)동의병원,1207,D,12,12,14,55286504,1,1,12,2026-06-30T01:50:10.005633,13,15
2026-06-30 01:51:36,mediboard,부산광역시,0,0,A1200016,한국보훈복지의료공단 부산보훈병원,1209,D,12,11,11,55286776,2,2,12,2026-06-30T01:50:10.005633,13,13
2026-06-30 01:51:36,mediboard,인천광역시,0,0,A1300081,(재)미리내천주성삼성직수도회천주성삼병원,1307,D,13,9,9,55286674,1,2,13,2026-06-30T01:50:10.005633,10,11
2026-06-30 01:51:36,mediboard,인천광역시,0,0,A1300018,강남종합병원,1304,D,13,15,15,55286782,1,1,13,2026-06-30T01:50:10.005633,16,16
2026-06-30 01:51:36,mediboard,인천광역시,4,4,A1300002,경북대학교병원,1308,A,13,9,27,55286778,5,5,13,2026-06-30T01:50:10.005633,18,36
2026-06-30 01:51:36,mediboard,인천광역시,0,0,A1303386,계명대학교대구동산병원,1308,D,13,12,12,55286506,2,2,13,2026-06-30T01:50:10.005633,14,14
2026-06-30 01:51:36,mediboard,인천광역시,0,0,A1300003,계명대학교동산병원,1302,C,13,13,23,55286459,1,3,13,2026-06-30T01:50:10.005633,14,26
2026-06-30 01:51:36,mediboard,인천광역시,0,0,A1300008,곽병원,1308,D,13,9,10,55286781,2,2,13,2026-06-30T01:50:10.005633,11,12
2026-06-30 01:51:36,mediboard,인천광역시,0,0,A1300038,나사렛종합병원,1302,D,13,8,9,55286829,2,10,13,2026-06-30T01:50:10.005633,10,19
2026-06-30 01:51:36,mediboard,인천광역시,0,0,A1300004,대구가톨릭대학교병원,1301,C,13,12,24,55286559,4,4,13,2026-06-30T01:50:10.005633,16,28
2026-06-30 01:51:36,mediboard,인천광역시,0,0,A1300005,대구가톨릭대학교칠곡가톨릭병원,1305,D,13,8,9,55286779,1,1,13,2026-06-30T01:50:10.005633,9,10
2026-06-30 01:51:36,mediboard,인천광역시,0,0,A1300076,대구굿모닝병원,1306,D,13,15,17,55286783,2,2,13,2026-06-30T01:50:10.005633,17,19
2026-06-30 01:51:36,mediboard,인천광역시,0,0,A1300007,대구의료원,1306,D,13,18,18,55286780,2,2,13,2026-06-30T01:50:10.005633,20,20
2026-06-30 01:51:36,mediboard,인천광역시,5,5,A1300009,대구파티마병원,1304,C,13,12,25,55286560,6,7,13,2026-06-30T01:50:10.005633,23,37
2026-06-30 01:51:36,mediboard,인천광역시,0,0,A1300110,더블유병원,1302,D,13,10,10,55286615,1,1,13,2026-06-30T01:50:10.005633,11,11
