collected_at,source,region,childRealTimeBed,childTotalBed,emogCode,emogDesc,emogDstr,emogGrdc2,emogLoca,generalRealTimeBed,generalTotalBed,id,isoRealTimeBed,isoTotalBed,regionCode,updateDate,wholeRealTimeBed,wholeTotalBed
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100011,가톨릭대학교여의도성모병원,1120,C,11,10,15,48062552,5,5,11,2026-05-01T01:15:10.006131,15,20
2026-05-01 01:18:57,mediboard,서울특별시,7,8,A1121013,가톨릭대학교은평성모병원,1122,C,11,12,24,48062768,4,4,11,2026-05-01T01:15:10.006131,23,36
2026-05-01 01:18:57,mediboard,서울특별시,3,3,A1100043,강동경희대학교병원,1102,A,11,6,15,48062443,5,5,11,2026-05-01T01:15:10.006131,14,23
2026-05-01 01:18:57,mediboard,서울특별시,2,2,A1100006,강북삼성병원,1123,C,11,2,15,48062762,2,3,11,2026-05-01T01:15:10.006131,6,20
2026-05-01 01:18:57,mediboard,서울특별시,4,4,A1100002,건국대학교병원,1106,C,11,8,20,48062662,3,3,11,2026-05-01T01:15:10.006131,15,27
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100039,경찰병원,1118,D,11,3,3,48062667,2,2,11,2026-05-01T01:15:10.006131,5,5
2026-05-01 01:18:57,mediboard,서울특별시,2,3,A1100001,경희대학교병원,1111,C,11,11,15,48062607,5,5,11,2026-05-01T01:15:10.006131,18,23
2026-05-01 01:18:57,mediboard,서울특별시,2,3,A1100014,고려대학교의과대학부속구로병원,1107,A,11,16,29,48062553,5,5,11,2026-05-01T01:15:10.006131,23,37
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100026,구로성심병원,1107,D,11,7,9,48062765,1,1,11,2026-05-01T01:15:10.006131,8,10
2026-05-01 01:18:57,mediboard,서울특별시,3,3,A1100052,국립중앙의료원,1124,C,11,13,17,48062713,10,10,11,2026-05-01T01:15:10.006131,26,30
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1122033,기쁨병원,1115,D,11,3,4,48062396,1,1,11,2026-05-01T01:15:10.006131,4,5
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100048,노원을지대학교병원,1109,C,11,11,17,48062394,5,5,11,2026-05-01T01:15:10.006131,16,22
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100044,녹색병원,1125,D,11,3,5,48062712,5,5,11,2026-05-01T01:15:10.006131,8,10
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100037,대림성모병원,1120,D,11,8,8,48062556,2,2,11,2026-05-01T01:15:10.006131,10,10
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100024,명지성모병원,1120,D,11,8,8,48062392,2,2,11,2026-05-01T01:15:10.006131,10,10
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100036,부민병원,1104,D,11,9,10,48062766,1,1,11,2026-05-01T01:15:10.006131,10,11
2026-05-01 01:18:57,mediboard,서울특별시,0,4,A1100010,삼성서울병원,1101,C,11,-3,52,48062663,3,4,11,2026-05-01T01:15:10.006131,0,60
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100021,삼육서울병원,1111,C,11,12,13,48062664,2,7,11,2026-05-01T01:15:10.006131,14,20
2026-05-01 01:18:57,mediboard,서울특별시,9,12,A1100017,서울대학교병원,1123,A,11,-4,24,48062391,8,8,11,2026-05-01T01:15:10.006131,11,42
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100050,서울성심병원,1111,D,11,17,17,48062668,3,3,11,2026-05-01T01:15:10.006131,20,20
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100029,서울적십자병원,1123,D,11,9,10,48062499,1,1,11,2026-05-01T01:15:10.006131,10,11
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100022,서울특별시동부병원,1111,D,11,7,8,48062440,2,2,11,2026-05-01T01:15:10.006131,9,10
2026-05-01 01:18:57,mediboard,서울특별시,2,3,A1100040,서울특별시보라매병원,1112,C,11,20,31,48062500,3,3,11,2026-05-01T01:15:10.006131,25,37
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100223,서울특별시서남병원,1119,D,11,3,6,48062444,2,2,11,2026-05-01T01:15:10.006131,5,8
2026-05-01 01:18:57,mediboard,서울특별시,3,3,A1100035,서울특별시서울의료원,1125,A,11,14,19,48062666,5,5,11,2026-05-01T01:15:10.006131,22,27
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100028,성심의료재단강동성심병원,1102,C,11,8,15,48062665,9,9,11,2026-05-01T01:15:10.006131,17,24
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100054,성애의료재단성애병원,1120,C,11,14,15,48062714,5,11,11,2026-05-01T01:15:10.006131,19,26
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100032,세란병원,1123,D,11,7,10,48062555,1,1,11,2026-05-01T01:15:10.006131,8,11
2026-05-01 01:18:57,mediboard,서울특별시,4,4,A1100004,순천향대학교부속서울병원,1121,C,11,17,20,48062551,3,3,11,2026-05-01T01:15:10.006131,24,27
2026-05-01 01:18:57,mediboard,서울특별시,2,2,A1100015,연세대학교의과대학강남세브란스병원,1101,C,11,14,21,48062764,2,3,11,2026-05-01T01:15:10.006131,18,26
2026-05-01 01:18:57,mediboard,서울특별시,7,10,A1100007,연세대학교의과대학세브란스병원,1114,C,11,0,39,48062708,6,6,11,2026-05-01T01:15:10.006131,11,53
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100025,의료법인동신의료재단동신병원,1114,D,11,8,9,48062711,1,1,11,2026-05-01T01:15:10.006131,9,10
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100041,의료법인서울효천의료재단에이치플러스양지병원,1105,C,11,6,18,48062442,3,3,11,2026-05-01T01:15:10.006131,9,21
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100023,의료법인청구성심병원,1122,D,11,8,10,48062441,1,1,11,2026-05-01T01:15:10.006131,9,11
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100075,의료법인풍산의료재단동부제일병원,1125,D,11,7,7,48062395,1,1,11,2026-05-01T01:15:10.006131,8,8
2026-05-01 01:18:57,mediboard,서울특별시,2,2,A1100020,의료법인한전의료재단 한일병원,1110,C,11,11,21,48062710,4,4,11,2026-05-01T01:15:10.006131,17,27
2026-05-01 01:18:57,mediboard,서울특별시,7,8,A1100005,이화여자대학교의과대학부속목동병원,1119,A,11,12,19,48062707,5,6,11,2026-05-01T01:15:10.006131,24,33
2026-05-01 01:18:57,mediboard,서울특별시,9,9,A1120796,이화여자대학교의과대학부속서울병원,1104,C,11,-1,14,48062669,7,8,11,2026-05-01T01:15:10.006131,15,31
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100016,인제대학교상계백병원,1109,C,11,10,16,48062709,6,7,11,2026-05-01T01:15:10.006131,16,23
2026-05-01 01:18:57,mediboard,서울특별시,-1,14,A1100009,재단법인아산사회복지재단서울아산병원,1118,C,11,15,36,48062609,14,26,11,2026-05-01T01:15:10.006131,26,73
2026-05-01 01:18:57,mediboard,서울특별시,4,4,A1100003,중앙대학교병원,1112,C,11,12,18,48062550,3,3,11,2026-05-01T01:15:10.006131,19,25
2026-05-01 01:18:57,mediboard,서울특별시,1,6,A1100012,학교법인가톨릭학원가톨릭대학교서울성모병원,1115,C,11,7,27,48062498,7,7,11,2026-05-01T01:15:10.006131,15,40
2026-05-01 01:18:57,mediboard,서울특별시,4,4,A1100008,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),1117,A,11,17,30,48062608,6,9,11,2026-05-01T01:15:10.006131,27,43
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100053,한국보훈복지의료공단중앙보훈병원,1102,C,11,18,22,48062557,3,3,11,2026-05-01T01:15:10.006131,21,25
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100027,한국원자력의학원원자력병원,1109,D,11,8,9,48062393,3,3,11,2026-05-01T01:15:10.006131,11,12
2026-05-01 01:18:57,mediboard,서울특별시,2,2,A1100055,한림대학교강남성심병원,1120,C,11,20,22,48062611,3,3,11,2026-05-01T01:15:10.006131,25,27
2026-05-01 01:18:57,mediboard,서울특별시,0,3,A1100013,한양대학교병원,1116,A,11,10,20,48062763,6,12,11,2026-05-01T01:15:10.006131,16,35
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100051,혜민병원,1106,D,11,6,9,48062610,1,1,11,2026-05-01T01:15:10.006131,7,10
2026-05-01 01:18:57,mediboard,서울특별시,0,0,A1100019,홍익병원,1119,D,11,5,9,48062554,1,1,11,2026-05-01T01:15:10.006131,6,10
